severity_level,severity_priority,reason,data_days,total_review_in_cnt,total_review_done_cnt,total_label_cnt,avg_review_in_cnt,avg_review_done_cnt,avg_label_cnt,label_rate,prev_avg_review_in_cnt,prev_label_rate,growth_rate,daily_delta,hit_rule_ids,hit_conditions
notice,3,expert_redivist_leader_general_repeat_reported_user_review,7,161.0,160.0,14.0,23.0,22.857142857142858,2.0,0.0875,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_zhengjiguan_butui_multi_selfsee_review,7,161.0,156.0,10.0,23.0,22.285714285714285,1.4285714285714286,0.0641025641025641,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,tuwen_hastag_gang_of_four_related_review,7,151.0,152.0,10.0,21.571428571428573,21.714285714285715,1.4285714285714286,0.06578947368421052,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,ZL_eva_n1_statue_neg_review,7,156.0,151.0,12.0,22.285714285714285,21.571428571428573,1.7142857142857142,0.07947019867549669,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,weiquan_jupai_300vv,7,147.0,147.0,4.0,21.0,21.0,0.5714285714285714,0.027210884353741496,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,eva_expert_sacked_leader_boxilai_location_name_memorial_regxp_review,7,146.0,146.0,2.0,20.857142857142858,20.857142857142858,0.2857142857142857,0.0136986301369863,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,eva_81269_mechanism_conference_informal_dining_xzhongquanhui_friend_see_review,7,137.0,136.0,1.0,19.571428571428573,19.428571428571427,0.14285714285714285,0.007352941176470588,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,special_Illegal_arts_keywords_manual,7,131.0,133.0,8.0,18.714285714285715,19.0,1.1428571428571428,0.06015037593984962,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,lizhi_eva_audio_review,7,131.0,131.0,5.0,18.714285714285715,18.714285714285715,0.7142857142857143,0.03816793893129771,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
notice,3,snow_lion_aigc_review,7,132.0,126.0,7.0,18.857142857142858,18.0,1.0,0.05555555555555555,0.0,0.0,0.0,0.0,notice_low_label_rate,近7天打标率<10%且进审量>0，纳入观察
